LP Unbounce (original),LP Vercel (copie),lead_split,lead_source,lead_familly,Status,MEP Pix,Reprendre le bon téléphone sur la TY Page,Adresse Morgane Barraud,Tailles Morgane Barraud,Prix Morgane Barraud,Supprimer le dernier visuel du Carrousel Header (Carte Statique),Carte Multisite Dynamique (CF Anis),Autres commentaires,Titre de la page
https://landing.costockage.fr/box-roubaix-lpbc-adw,https://lp.costockage.fr/box-roubaix-adw,Kostok Roubaix,LP-ADW_Cursor,SEA,Live,30/04/2026,03 72 88 03 38,"178 Rue d'Alger, 59150 Roubaix",de 1 à 24 m2,à partir de 40€ / mois TTC,X,,,"Stockage Roubaix | Box sécurisé dès 39€/mois — Kostok"
https://landing.costockage.fr/box-paris-picpus-lpbc-adw,https://lp.costockage.fr/box-paris-picpus-adw,Kostok Paris - Picpus,LP-ADW_Cursor,SEA,Pas active,,01 76 44 05 91,"4 rue de Picpus, 75012 Paris",,,X,,,"Kostok - Self-Stockage Paris"
https://landing.costockage.fr/box-chelles-lpbc-adw,https://lp.costockage.fr/box-chelles-adw,Kostok Chelles,LP-ADW_Cursor,SEA,Live,07/05/2026,01 76 44 05 91,"3 Rue Gustave Eiffel, 77500 Chelles",de 1 à 18 m2,à partir de 64€ / mois TTC,X,,,"Stockage Chelles | Box sécurisé dès 61€/mois — Kostok"
https://landing.costockage.fr/box-chelles-lpbc-fb,https://lp.costockage.fr/box-chelles-fb,Kostok Chelles,LP-FB_Cursor,SMA,A mettre en prod louis.bristielle@pixalione.com,,01 76 44 05 91,"3 Rue Gustave Eiffel, 77500 Chelles",de 1 à 18 m2,à partir de 64€ / mois TTC,X,,,"Stockage Chelles | Box sécurisé dès 61€/mois — Kostok"
https://landing.costockage.fr/box-aix-gardanne-lpbc-adw,https://lp.costockage.fr/box-aix-gardanne-adw,Kostok Gardanne,LP-ADW_Cursor,SEA,Live,07/05/2026,04 81 68 03 76,"5 Rue Emmanuel Vitria, 13120 Gardanne","de 1 à 52,5 m2",à partir de 52€ / mois TTC,X,,,"Stockage Aix-en-Provence / Gardanne | Box sécurisé dès 39€/mois — Kostok"
https://landing.costockage.fr/box-gardanne-lpbc-fb,https://lp.costockage.fr/box-gardanne-fb,Kostok Gardanne,LP-FB_Cursor,SMA,,,04 81 68 03 76,"5 Rue Emmanuel Vitria, 13120 Gardanne","de 1 à 52,5 m2",à partir de 52€ / mois TTC,X,,,"Stockage Aix-en-Provence / Gardanne | Box sécurisé dès 39€/mois — Kostok"
https://landing.costockage.fr/lpbc-branding-idf-adw,https://lp.costockage.fr/branding-idf-adw,Kostok IDF,LP-ADW_Cursor,SEA,Live,30/04/2026,01 76 44 05 91,,,,,X,,"Kostok - Self-Stockage Ile-de-France"
https://landing.costockage.fr/box-dunkerque-lpbc-adw,https://lp.costockage.fr/box-dunkerque-adw,Kostok Dunkerque,LP-ADW_Cursor,SEA,Live,07/05/2026,03 72 88 03 38,"9020 Rue Jacques Ibert, 59240 Dunkerque",de 1 à 15 m2,à partir de 29€ / mois TTC,X,,,"Stockage Dunkerque | Box sécurisé dès 39€/mois — Kostok"
https://landing.costockage.fr/box-osny-lpbc-adw,https://lp.costockage.fr/box-osny-adw,Kostok Osny,LP-ADW_Cursor,SEA,Live,07/05/2026,01 76 44 05 91,"Bâtiment 2-21, 9 chaussée jules césar, 95520 Osny","de 1 à 14,5 m2",à partir de 46€ / mois TTC,X,,,"Stockage Osny - Cergy | Box sécurisé dès 49€/mois — Kostok"
https://landing.costockage.fr/box-osny-lpbc-fb,https://lp.costockage.fr/box-osny-fb,Kostok Osny,LP-FB_Cursor,SMA,,,01 76 44 05 91,"Bâtiment 2-21, 9 chaussée jules césar, 95520 Osny","de 1 à 14,5 m2",à partir de 46€ / mois TTC,X,,,"Stockage Osny - Cergy | Box sécurisé dès 49€/mois — Kostok"
